From,To,Endpoint_From,Endpoint_To
b_160705,start,3,2
b_162107,start,3,2
b_162180,start,3,2
b_62937,start,2,3
b_62940,start,3,2
b_63738,start,3,2
b_64339,start,3,2
b_80891,start,3,2
b_81672,start,2,3
churn,churn2,3,2
churn,code_dev2,3,2
churn,commit,3,2
churn,commit2,2,3
churn,file,3,2
churn,file2,2,3
churn,mail_dev,3,2
churn,mis_link,3,2
churn,silence2,3,2
churn,thread,3,2
churn,thread2,2,3
churn2,code_dev,3,2
churn2,code_dev2,3,2
churn2,commit,3,2
churn2,commit2,2,3
churn2,file2,3,2
churn2,mail_dev,3,2
churn2,mail_dev2,2,3
churn2,mis_link2,3,2
churn2,silence,3,2
churn2,silence2,3,2
churn2,thread2,3,2
code_dev,code_dev2,2,3
code_dev,commit,3,2
code_dev,commit2,2,3
code_dev,file,3,2
code_dev,file2,2,3
code_dev,mail_dev2,2,3
code_dev,mis_link,3,2
code_dev,mis_link2,2,3
code_dev,thread,3,2
code_dev2,commit2,2,3
code_dev2,mail_dev,2,3
code_dev2,mis_link,3,2
code_dev2,mis_link2,3,2
code_dev2,silence,3,2
code_dev2,thread,3,2
commit,commit2,2,3
commit,file,3,2
commit,file2,2,3
commit,mail_dev2,2,3
commit,mis_link,2,3
commit,silence,2,3
commit,start,2,3
commit,thread,2,3
commit2,file2,3,2
commit2,mail_dev,3,2
commit2,mail_dev2,3,2
commit2,mis_link2,3,2
commit2,silence,3,2
commit2,start,3,2
commit2,thread,3,2
commit2,thread2,3,2
file,mis_link,2,3
file,mis_link2,2,3
file,silence,2,3
file,silence2,2,3
file,start,2,3
file2,mis_link,3,2
file2,mis_link2,3,2
file2,silence,3,2
file2,silence2,3,2
file2,start,3,2
file2,thread,3,2
file2,thread2,2,3
mail_dev,mail_dev2,2,3
mail_dev,mis_link,3,2
mail_dev,silence,3,2
mail_dev,thread,3,2
mail_dev,thread2,2,3
mail_dev2,mis_link2,3,2
mail_dev2,silence2,3,2
mail_dev2,thread,3,2
mail_dev2,thread2,2,3
mis_link,mis_link2,2,3
mis_link,silence2,2,3
mis_link,start,2,3
mis_link,thread,2,3
mis_link,thread2,2,3
mis_link2,silence2,3,2
mis_link2,start,3,2
silence,silence2,2,3
silence,thread,3,2
silence2,thread,3,2
thread,thread2,2,3
